ID,Location,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208,Al 167.078,Al 176.641,Al 396.152,Al,Fe 238.204,Fe 259.941,Fe,MPI
BL-S 3-1 SC,Barang Lompo South,-5.054305556,119.3279167,F1,Siganus canaliculatus,0.04,0.572,0.07,0.107,0.763,16.977,0.141,0.679,75,147,111,111.000,41,45,43,1.12750176482836
BL-S 3-2 SC,Barang Lompo South,-5.054305556,119.3279167,F1,Siganus canaliculatus,0.055,0.278,0.061,0.116,1.239,28.552,0.195,0.266,47,124,91,87.333,53,56,54.5,0.970341877581376
BL-S 3-3 SC,Barang Lompo South,-5.054305556,119.3279167,F1,Siganus canaliculatus,0.031,0.202,0.084,0.094,0.777,22.275,0.123,0.185,31,108.5,74,71.167,40,44.5,42.25,0.752929155652848
BL-S 3-4 SC,Barang Lompo South,-5.054305556,119.3279167,F1,Siganus canaliculatus,0.04,0.163,0.073,0.07,0.75,12.825,0.114,0.139,17,92,73,60.667,30,34,32,0.630058577352367
BL-S 3-5 SC,Barang Lompo South,-5.054305556,119.3279167,F1,Siganus canaliculatus,0.032,0.17,0.062,0.083,0.693,14.2,0.152,0.097,20,82,63.5,55.167,25.5,26,25.75,0.597195076206095
BL-S 3-6 SC,Barang Lompo South,-5.054305556,119.3279167,F1,Siganus canaliculatus,0.049,0.293,0.223,0.101,0.815,16.784,0.593,0.096,20,112,89,73.667,34,37,35.5,1.22222550021613
KM 1 CB,Makassar,-5.135,119.4040278,KM,Crenimugil buchanani,0.038,0.249,0.03,0.105,1.048,12.923,0.166,0.073,23,94,46,54.333,33,40,36.5,0.629043330762566
KM 2 CB,Makassar,-5.135,119.4040278,KM,Crenimugil buchanani,0.034,0.218,0.061,0.056,1.383,11.562,0.112,0.097,28,66,37,43.667,42,43,42.5,0.618278359740239
KM 3 CB,Makassar,-5.135,119.4040278,KM,Crenimugil buchanani,0.05,0.709,0.02,0.063,1.19,9.455,0.046,0.097,45,62,56,54.333,52,55,53.5,0.593911570695864
KM 4 CB,Makassar,-5.135,119.4040278,KM,Crenimugil buchanani,0.055,0.225,0.045,0.074,1.687,12.526,0.122,0.123,50,91,58,66.333,68,72,70,0.755615669100612
KM 5 CB,Makassar,-5.135,119.4040278,KM,Crenimugil buchanani,0.036,0.138,0.02,0.056,0.978,13.273,0.048,0.04,16,89,56,53.667,36,39,37.5,0.441138271756209
KM 6 CB,Makassar,-5.135,119.4040278,KM,Crenimugil buchanani,0.046,0.282,0.019,0.068,1.028,16.183,0.282,0.083,22,114,65,67.000,41,47,44,0.673624118412272